PINCODE,OFFICE_ID,OFFICE_NAME,ACTIVE
182005,,,True
182101,,,True
182104,,,True
182117,,,True
182121,,,True
182122,,,True
182124,,,True
182125,,,True
182126,,,True
182128,,,True
182141,,,True
182142,,,True
182143,,,True
182144,,,True
182145,,,True
182146,,,True
182147,,,True
182148,,,True
182161,,,True
182201,,,True
182202,,,True
182203,,,True
182204,,,True
182205,,,True
182221,,,True
182222,,,True
182301,,,True
182311,,,True
182312,,,True
182313,,,True
182315,,,True
182320,,,True
182444,,,True
182446,,,True
184121,,,True
184205,,,True
185131,,,True
185132,,,True
185133,,,True
185135,,,True
185151,,,True
185152,,,True
185153,,,True
185155,,,True
185156,,,True
185201,,,True
185202,,,True
185203,,,True
185212,,,True
185233,,,True
